year,month,appraiser,estimator,lawyer,auditor,actuary,all,official,avg_rate,appraiser_usd,estimator_usd,lawyer_usd,auditor_usd,actuary_usd,price_index,appraiser_real,estimator_real,lawyer_real,auditor_real,actuary_real,oil_price,appraiser_barrels,estimator_barrels,lawyer_barrels,auditor_barrels,actuary_barrels,appraiser_real_smoothed,estimator_real_smoothed,lawyer_real_smoothed,auditor_real_smoothed,actuary_real_smoothed,appraiser_barrels_smoothed,estimator_barrels_smoothed,lawyer_barrels_smoothed,auditor_barrels_smoothed,actuary_barrels_smoothed
2019,6,32115,46035,57608,40506,123000,36464,49348,64.16905,500.474917425145,717.4019250713545,897.7536678507786,631.2388916463623,1916.811921011765,,,,,,,66.27,7.552058509508752,10.82544024553123,13.546909127067732,9.525258663744715,28.924278270888262,,,,,,7.683210188212707,11.39541930085252,12.63488479751787,8.862938249290329,33.344567431904316
2019,7,31764,46782,49038,32665,150000,36577,46509,63.22268181818181,502.41462536100755,739.9559565432143,775.6393526776568,516.6658398632827,2372.5662323432543,,,,,,,64.89,7.742558566204462,11.40323557625542,11.953141511444857,7.962179686597052,36.562894626957224,,,,,,7.867708317262813,11.6434934453075,12.961000570662119,9.086658276002822,34.369825380838314
2019,8,32866,47396,49493,38858,150000,37587,44961,65.58748260869565,501.1017147293681,722.6378893480536,754.6104535720993,592.4606106904943,2287.021761376657,,,,,,,62.09,8.070570377345273,11.63855515136179,12.153494178967616,9.541965061853668,36.83397908482295,,,,,,8.073219773765905,11.931209660920816,13.277410091936162,9.308467444459495,35.49476349671386
2019,9,32053,47756,57981,32448,150000,37591,45541,64.958705,493.43656096592446,735.1747544844068,892.582449111324,499.5173472131257,2309.1593343802037,,,,,,,59.94,8.232174857623031,12.265177752492606,14.891265417272672,8.333622742961722,38.52451341975649,,,,,,8.293295500492473,12.256677314969819,13.598074683710065,9.515829563960203,36.68534994564495
2019,10,33436,48582,53437,37030,150000,38768,46549,64.37499130434783,519.3942449160651,754.6719465998408,830.0894325152462,575.2233786709502,2330.097402123752,,,,,,,60.15,8.634983290375146,12.546499527844402,13.800323067585142,9.563148440082298,38.738111423503774,,,,,,8.519489234212257,12.607142928355472,13.929221612867746,9.706211581419605,37.895594224532175
2019,11,33486,49291,54398,40048,150000,39800,46285,63.86711904761904,524.307350939581,771.7742828394819,851.7371819987856,627.0519258922637,2348.626370451447,,,,,,,65.15,8.04769533291759,11.846113320636713,13.073479386013592,9.624741763503664,36.04952218651492,,,,,,8.746009783578657,12.965939311543972,14.26378608112439,9.889164689603748,39.09098952889669
2019,12,33417,50252,56574,44590,150000,40559,62239,62.932538095238094,530.9971758874375,798.5058527903614,898.9626306567282,708.5364955807174,2383.504694709747,,,,,,,66.27,8.012632803492343,12.049281013888056,13.565152114934785,10.691662827534593,35.96657152119733,,,,,,8.961467409877,13.307795205750907,14.583015000723465,10.067924647684208,40.21663433505383
2020,1,34040,49844,50867,42098,150000,38823,46674,61.81214705882353,550.7008188472379,806.3787195834818,822.9288646387323,681.0635450009112,2426.7074861070996,,,,,,,58.37,9.434655111311255,13.814951509053998,14.098490057199458,11.668040860046448,41.57456717675346,,,,,,9.1521532160756,13.608434064008666,14.873245835295597,10.236982723513213,41.21465174729148
2020,2,34901,49741,50100,43113,150000,39057,47257,63.97975,545.5007248387185,777.4491147589666,783.0602651620239,673.8538365654757,2344.491811862347,,,,,,,48.86,11.164566615610285,15.911770666372629,16.02661205816668,13.791523466342115,47.983868437624785,,,,,,9.306907188791197,13.853954675441031,15.121603288379621,10.38430920742426,42.04120260648047
2020,3,32645,48893,49323,43870,150000,36456,50948,73.71944210526316,442.82755088388456,663.2307381027957,669.0636634169348,595.0940314680967,2034.7413886531683,,,,,,,15.11,29.306919317265688,43.893496896280325,44.27952769139211,39.38411856175359,134.66190527155317,,,,,,9.41994407836465,14.042413504053643,15.3150055927248,10.49717802024635,42.67266887141498
